Obs,HHMMSS,leaf_age,tree_number,sun_or_shade,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,N_CO2S_,MN_CO2S_,SD_CO2S_,CV_CO2S_,SLP_CO2S_,N_H2OS_,MN_H2OS_,SD_H2OS_,CV_H2OS_,SLP_H2OS_,N_Flow_,MN_Flow_,SD_Flow_,CV_Flow_,SLP_Flow_,N_Photo_,MN_Photo_,SD_Photo_,CV_Photo_,SLP_Photo_,column_for_Exclude_pts
3,15:22:20,mature,504,sun,9,1553.5,0,-1.08,0.0834,69,5.39,6.27,40.11,6,1.42,1,2.84,43.13,40.11,44.96,53.09,54.27,4.017,12.005,4.53,13.54,400.1,2000,17,98.63,7.28,-0.0567,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,54.4,5.4E-02,9.9E-02,-6.7E-01,30,12,2.0E-03,1.7E-02,-7.2E-03,30,400,2.8E-02,7.1E-03,-1.5E-01,40,-1.28,1.6E-01,1.2E+01,1.4E+00,OK
4,15:24:20,mature,504,sun,9,1673.5,0,-0.278,0.0836,93.8,5.39,6.26,40.09,6,1.42,1,2.84,43.12,40.09,44.96,98.88,98.50,4.067,12.056,4.59,13.60,400.1,1999,13,98.62,7.76,-0.0545,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,98.5,3.2E-02,3.2E-02,-8.1E-02,30,12,3.2E-03,2.6E-02,3.8E-02,30,400,1.9E-02,4.7E-03,4.7E-02,40,-0.171,1.7E-01,1.0E+02,-1.3E+00,OK
5,15:26:20,mature,504,sun,9,1793.5,0,0.48,0.0842,124,5.4,6.23,40.03,6,1.42,1,2.84,43.10,40.03,44.96,149.75,147.83,4.121,12.125,4.65,13.69,400.1,2001,12,98.6,8.22,-0.0543,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,148,2.1E-02,1.4E-02,1.1E-01,30,12.1,4.6E-03,3.8E-02,3.7E-02,30,400,3.5E-02,8.7E-03,-2.7E-01,40,0.67,1.7E-01,2.5E+01,-1.5E+00,OK
6,15:28:20,mature,504,sun,9,1913.5,0,2.04,0.0846,184,5.42,6.22,40.02,6,1.42,1,2.84,43.10,40.02,44.96,251.67,246.60,4.186,12.210,4.73,13.78,400.2,2000,10,98.59,8.92,-0.0603,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,247,3.8E-02,1.5E-02,1.6E-01,30,12.2,4.0E-03,3.3E-02,3.5E-02,30,400,1.3E-02,3.3E-03,-6.7E-02,40,2.24,2.4E-01,1.1E+01,-2.0E+00,OK
7,15:30:20,mature,504,sun,9,2033.5,0,3.53,0.0851,243,5.46,6.23,40.08,6,1.42,1,2.84,43.11,40.08,44.96,350.57,342.47,4.262,12.344,4.81,13.93,400.1,1999,11,98.59,9.21,-0.0608,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,342,2.8E-02,8.3E-03,8.6E-02,30,12.3,5.8E-03,4.7E-02,7.3E-02,30,400,2.6E-02,6.6E-03,-3.1E-01,40,3.69,1.2E-01,3.1E+00,-1.1E+00,OK
8,15:32:20,mature,504,sun,9,2153.5,0,6.74,0.0856,359,5.5,6.24,40.15,6,1.42,1,2.84,43.15,40.15,44.96,550.38,535.85,4.345,12.489,4.89,14.06,400.1,1999,11,98.59,9.12,-0.061,1.0,-0.22,2.74,1.00,0.00,0.16,111115,30,536,7.0E-02,1.3E-02,-6.0E-01,30,12.5,4.8E-03,3.8E-02,5.5E-02,30,400,3.3E-02,8.1E-03,-3.8E-01,40,6.75,3.9E-02,5.7E-01,-1.3E-01,OK
9,15:34:20,mature,504,sun,9,2273.5,0,9.51,0.0859,485,5.5,6.22,40.11,6,1.42,1,2.84,43.14,40.11,44.96,750.40,730.12,4.437,12.585,5.00,14.18,400.1,1999,10,98.6,8.67,-0.0719,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,730,7.2E-02,9.8E-03,1.0E-01,30,12.6,2.6E-03,2.1E-02,2.5E-02,30,400,9.3E-03,2.3E-03,-2.2E-02,40,9.43,2.4E-01,2.5E+00,1.9E+00,OK
10,15:36:58,mature,504,sun,9,2431.5,0,12.6,0.0849,644,5.44,6.23,40.14,6,1.42,1,2.84,43.15,40.14,44.96,1000.27,973.40,4.571,12.632,5.15,14.23,400.1,1999,9,98.59,7.44,-0.0636,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,973,9.3E-02,9.5E-03,-2.0E-01,30,12.6,2.4E-03,1.9E-02,5.4E-03,30,400,1.7E-02,4.2E-03,-1.4E-01,40,12.2,4.8E-01,4.0E+00,4.1E+00,OK
11,15:39:20,mature,504,sun,9,2573.5,0,15.2,0.082,808,5.29,6.25,40.17,6,1.42,1,2.84,43.14,40.17,44.96,1249.99,1217.61,4.699,12.525,5.29,14.11,400.1,2000,9,98.58,5.43,-0.059,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,1.22e+03,6.2E-02,5.1E-03,2.5E-01,30,12.5,6.4E-03,5.1E-02,-8.6E-02,30,400,3.2E-02,7.9E-03,-3.3E-01,40,14.5,6.7E-01,4.6E+00,5.8E+00,OK
12,15:41:24,mature,504,sun,9,2697.5,0,16.8,0.0791,985,5.11,6.26,40.17,6,1.42,1,2.84,43.13,40.17,44.96,1499.89,1463.42,4.819,12.394,5.43,13.97,400.1,2000,8,98.56,3.24,-0.0533,0.5,-0.22,2.74,1.00,0.00,0.16,111115,30,1.46e+03,9.9E-02,6.7E-03,1.1E+00,30,12.4,4.2E-03,3.4E-02,-5.2E-02,30,400,2.5E-02,6.2E-03,-2.8E-01,40,16.3,5.7E-01,3.5E+00,4.9E+00,OK
13,15:43:33,mature,504,sun,9,2826.5,0,19.2,0.076,1.14E+03,4.95,6.3,40.26,6,1.42,1,2.84,43.14,40.26,44.96,1750.08,1708.61,4.956,12.294,5.58,13.85,400.1,1999,8,98.56,-0.664,-0.0508,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,1.71e+03,8.2E-02,4.8E-03,-3.7E-01,30,12.3,4.4E-03,3.5E-02,-5.6E-02,30,400,2.4E-02,6.0E-03,-1.2E-01,40,17.8,1.3E+00,7.4E+00,1.2E+01,OK
14,15:45:53,mature,504,sun,9,2966.5,0,20.4,0.0733,1.32E+03,4.82,6.35,40.36,6,1.42,1,2.84,43.16,40.36,44.96,1999.04,1954.33,5.121,12.259,5.76,13.79,400.1,1999,7,98.55,-4.17,-0.0416,0.8,-0.22,2.74,1.00,0.00,0.16,111115,30,1.95e+03,1.0E-01,5.1E-03,4.4E-01,30,12.3,1.8E-03,1.5E-02,5.1E-03,30,400,2.3E-02,5.8E-03,-2.7E-01,40,19.1,1.2E+00,6.2E+00,1.0E+01,OK
